Designator,Mid X,Mid Y,Rotation,Layer
C1,140.685,-97.3675,90.0,bottom
C10,63.742936,-117.704154,247.5,bottom
C11,73.56012,-130.21612,225.0,bottom
C12,87.349,-138.306,202.5,bottom
C13,102.8495,-140.424,180.0,bottom
C14,117.494154,-136.414064,157.5,bottom
C15,129.88888,-127.16612,135.0,bottom
C16,138.055936,-113.577846,112.5,bottom
C17,104.6795,-70.044,180.0,top
C18,101.107,-65.398,180.0,top
C2,136.656064,-81.843846,67.5,bottom
C3,126.57012,-69.65712,45.0,bottom
C4,112.895154,-61.811936,22.5,bottom
C5,97.2565,-59.846,0.0,bottom
C6,82.381154,-63.773064,337.5,bottom
C7,69.85412,-73.34488,315.0,bottom
C8,61.695936,-87.376846,292.5,bottom
C9,59.805,-102.6845,270.0,bottom
D1,108.062,-64.527,0.0,top
J1,109.561,-91.503,270.0,top
J10,120.493,-70.529,270.0,top
J11,69.173,-89.158,180.0,top
J2,115.972,-113.192,90.0,top
J3,110.275,-113.259,90.0,top
J4,127.221,-113.078,90.0,top
J5,121.587,-113.122,90.0,top
J6,122.998,-76.725,180.0,top
J7,111.967,-69.361,180.0,top
J8,111.938,-75.24,180.0,top
J9,133.362,-108.042,90.0,top
R1,140.63,-102.492,90.0,bottom
R10,61.501199,-112.20104,247.5,bottom
R11,69.220765,-125.934765,225.0,bottom
R12,81.54796,-135.867801,202.5,bottom
R13,96.7575,-140.196,180.0,bottom
R14,112.50104,-138.387801,157.5,bottom
R15,127.025765,-130.018235,135.0,bottom
R16,136.394,-117.204,112.5,bottom
R2,138.313801,-87.13296,67.5,bottom
R3,130.427765,-73.205765,45.0,bottom
R4,117.71796,-63.825801,22.5,bottom
R5,102.4855,-59.828,0.0,bottom
R6,87.11396,-61.344199,337.5,bottom
R7,73.633235,-69.506765,315.0,bottom
R8,64.034,-81.897,292.5,bottom
R9,60.042,-96.7045,270.0,bottom
SW1,90.67980538777579,-53.09752941792096,78.75,bottom
U1,143.5,-100.0,90.0,top
U10,59.81124,-116.646729,292.5,top
U11,69.240855,-130.759145,315.0,top
U12,83.353271,-140.18876,337.5,top
U13,100.0,-143.5,0.0,top
U14,116.646729,-140.18876,22.5,top
U15,130.759145,-130.759145,45.0,top
U16,140.18876,-116.646729,67.5,top
U17,89.796,-95.577001,180.0,top
U18,92.521,-95.018,180.0,top
U2,140.18876,-83.353271,112.5,top
U3,130.759145,-69.240855,135.0,top
U4,116.646729,-59.81124,157.5,top
U5,100.0,-56.5,180.0,top
U6,83.353271,-59.81124,202.5,top
U7,69.240855,-69.240855,225.0,top
U8,59.81124,-83.353271,247.5,top
U9,56.5,-100.0,270.0,top
