Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico_W,
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C3",0603,2,C,
C2,CP_Radial_D8.0mm_P3.50mm,1,C_Polarized_US,
D2,D_SOD-123,1,D_Schottky,
"J1, J2",JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,2,Conn_01x04_Socket,
"J10, J7",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,2,Conn_01x02_Socket,
"J11, J12",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,2,Conn_01x03_Socket,
"J13, J14",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02_Socket,
"J3, J4, J5, J6",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,4,Conn_01x04_Socket,
J8,JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal,1,Conn_01x06_Socket,
J9,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
"R1, R2",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,2,R,
SW1,SW_PUSH_6mm,1,SW_Push,
"U1, U2",名称未設定,2,~,
