Designator,Mid X,Mid Y,Rotation,Layer
A1,79.12392,-98.374,0.0,top
BZ1,59.281,-114.538,270.0,top
C1,91.694,-78.0725,270.0,top
C2,95.437,-85.467,270.0,top
C3,66.098,-109.6035,270.0,top
D2,100.072,-79.962,0.0,top
J1,99.45892,-95.419,270.0,top
J10,123.367,-137.729,180.0,top
J11,101.934,-127.239,0.0,top
J12,101.876,-115.637,0.0,top
J13,101.943,-121.441,0.0,top
J14,101.313,-133.202,0.0,top
J2,99.42892,-106.799,270.0,top
J3,93.99892,-95.439,90.0,top
J4,93.95892,-106.789,90.0,top
J5,93.994,-117.873,90.0,top
J6,94.005,-129.016,90.0,top
J7,102.839,-85.594,90.0,top
J8,98.026,-70.978,270.0,top
J9,61.555,-80.075,0.0,top
R1,110.56,-139.212,180.0,top
R2,111.919,-143.46,180.0,top
SW1,83.812,-129.205,0.0,top
U1,61.099,-101.024,180.0,top
U2,74.925,-129.799,0.0,top
