Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_EIA-1608-10_AVX-L_HandSolder,2,C,
"C3, C4",CP_Radial_D12.5mm_P5.00mm,2,C,
D1,D_SMC,1,1N4148WT,
F1,Fuseholder,1,Fuse,
J0,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Conn_01x02_Socket,
J1,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,Conn_01x02_Socket,
"J3, J6, J7, J8",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,4,Conn_01x02_Socket,
J4,2Connect,1,Conn_01x02_Socket,
M1,MURATA_OKL-KAIZOU,1,~,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,R,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R,
RV1,Potentiometer_Bourns_3296W_Vertical,1,R_Potentiometer_US,
"SW1, SW2",DS-850,2,SW_DIP_x01,
SW3,Toggle,1,SW_DIP_x01,
