Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",CP_Radial_D8.0mm_P3.50mm,4,C_Polarized_US,
"C5, C6, C7, C8",0603,4,C,
D2,0603,1,LED,
"E1, E2, E3, E4",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,4,Conn_01x04_Socket,
J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Socket,
"M1, M2, M3, M4",JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,4,Conn_01x02_Socket,
MP1,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,Conn_01x02_Socket,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,0.1,
R2,0603,1,2.2k,
RP2040_ZERO1,名称未設定,1,~,
"TB67H1, TB67H2, TB67H3, TB67H4",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,4,~,
