Designator,Mid X,Mid Y,Rotation,Layer
C1,155.565315,-141.278398,0.0,top
C2,155.565315,-131.118398,0.0,top
C3,144.445315,-141.278398,180.0,top
C4,144.445315,-131.118398,180.0,top
C5,160.765315,-134.135898,270.0,top
C6,160.815315,-144.168398,270.0,top
C7,139.165315,-139.355898,90.0,top
C8,139.115315,-129.318398,90.0,top
D2,141.735315,-151.343398,90.0,top
E1,166.515315,-116.973398,270.0,top
E2,172.230315,-116.973398,270.0,top
E3,129.050315,-116.973398,270.0,top
E4,134.765315,-116.973398,270.0,top
J6,132.920315,-106.988398,180.0,top
M1,174.685315,-131.648398,90.0,top
M2,174.745315,-141.758398,90.0,top
M3,125.240315,-141.838398,270.0,top
M4,125.185315,-131.728398,270.0,top
MP1,150.005315,-150.168398,0.0,top
R1,148.015315,-106.998398,180.0,top
R2,142.662815,-148.898398,0.0,top
RP2040_ZERO1,150.005315,-113.338398,0.0,top
TB67H1,166.375315,-132.208398,270.0,top
TB67H2,166.425315,-142.248398,270.0,top
TB67H3,133.560315,-141.278398,90.0,top
TB67H4,133.505315,-131.238398,90.0,top
